SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
0,0,0,0.1023712383613841,0,0,-0.5219756496159262,-0.26225719995201097,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,0
0,1,1,-0.7117434584104956,1,0,0.3374778078243394,-0.5036347857749957,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
0,1,1,-0.7931549280876836,0,0,-0.8090131942822701,-0.7498829245931361,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,0
0,1,0,-0.2639803751859618,1,1,0.2843841579438598,-0.17272239466719,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,0
0,1,1,-1.2816237461508113,1,0,-0.6762790695810708,-0.9893737196161955,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
0,0,1,1.3642490183577978,1,1,0.48348534499565887,1.2710674769778725,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0
0,0,0,-1.2816237461508113,1,0,-1.497571466169742,-1.0002337364297182,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,0
0,1,0,0.30589991255435406,1,0,-0.27641751891870747,0.03500010874782714,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0
0,1,0,1.3235432835192036,1,1,-0.17023021915774814,0.6620728371601656,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,0
0,0,0,1.1200146093262338,1,0,0.5183280527297236,1.1179083307653424,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,True,False,False,0
